"","timepoints9","timepoints10","timepoints12","timepoints13","timepoints14","timepoints15"
"MYO1F",-0.270287602157332,-0.218362087471433,-0.193819738421802,-0.237422868430665,-0.17759491041868,-0.230801119426307
"MYO1G",-0.162639689819687,-0.162639689819687,-0.151756527584686,-0.162639689819687,-0.162639689819687,-0.162639689819687
"MYOM2",-0.0539731752963151,0.022549525327969,0.169841028748105,-0.0930714230646874,0.0878044998683291,-0.280106050267805
"MYOZ2",-0.0576094692627972,-0.0576094692627972,-0.0158163730889644,6.70307972488847e-05,-0.0576094692627972,-0.0576094692627972
"MZB1",-0.0605633386599001,-0.0605633386599001,-0.0605633386599001,-0.0605633386599001,0.00307237900115725,-0.0605633386599001
"NAMA",-0.102777703383723,0.105286983578008,-0.102777703383723,-0.0851277577364356,-0.102777703383723,-0.102777703383723
"NAMPT",-0.310112802184895,-0.275538902293229,-0.284034460482689,-0.0169023675975955,-0.251119034690788,0.856683394292536
"NANOS2",-0.187413234488752,-0.136205386109503,-0.142640306149744,-0.177728696135098,-0.187413234488752,-0.187413234488752
"NCAN",-0.169243146342167,2.40958685305,0.209178139222144,0.213231998071495,-0.0847440973635735,-0.169243146342167
"NCAPD2",-0.304142377290693,-0.222347050483656,-0.198764667383258,-0.263579464328397,-0.304142377290693,-0.304142377290693
"NCAPG",-0.224337499468134,-0.224337499468134,-0.224337499468134,-0.224337499468134,-0.224337499468134,-0.224337499468134
"NCAPH",-0.224105776080657,0.302633462829744,-0.0376140289902271,0.413604026617578,-0.127317489821414,-0.224105776080657
"NCF2",-0.225495855015657,-0.191547864937559,-0.124683500318215,-0.215487112569993,-0.225495855015657,-0.186631656220589
"NCF4",-0.25920321217278,-0.197304358436858,-0.213758069068377,-0.174838257598572,-0.25920321217278,-0.171879017709782
"NCR3",-0.067296596197397,-0.067296596197397,-0.067296596197397,-0.067296596197397,0.0154924033977297,-0.067296596197397
