"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints11","timepoints13"
"CSE1L-AS1",-0.0298806486468622,-0.0298806486468622,-0.0298806486468622,-0.0298806486468622,-0.0298806486468622,-0.0298806486468622,-0.0298806486468622,-0.0298806486468622
"CSF1",-0.129126906660354,-0.171832747759935,-0.171832747759935,-0.171832747759935,-0.171832747759935,-0.171832747759935,-0.171832747759935,-0.171832747759935
"CSF1R",-0.304890157044058,-0.305263536940278,-0.266736446170943,-0.257567389606677,-0.207526383306919,-0.327999908565576,-0.327999908565576,-0.29464994287423
"CSF3",-0.0429692582569695,-0.0429692582569695,-0.0429692582569695,-0.0429692582569695,-0.0429692582569695,-0.0429692582569695,-0.0429692582569695,-0.0429692582569695
"CSF3R",-0.210672306579788,-0.189272029143587,-0.175843304384374,-0.226477179536388,-0.226477179536388,-0.226477179536388,-0.226477179536388,-0.226477179536388
"CSHL1",-0.0609005623721031,-0.0609005623721031,-0.0609005623721031,-0.0609005623721031,-0.0609005623721031,-0.0609005623721031,-0.0609005623721031,-0.0609005623721031
"CSNK1A1L",-0.0677310649152888,-0.0677310649152888,1.0509057200753,-0.0677310649152888,-0.0677310649152888,-0.0677310649152888,-0.0677310649152888,-0.0677310649152888
"CSNK1E",-0.026297388693979,-0.026297388693979,-0.026297388693979,-0.026297388693979,-0.026297388693979,-0.026297388693979,-0.026297388693979,-0.026297388693979
"CSRP2",0.339631703951698,0.648950352706423,0.290337379250562,0.346540347917232,0.0872567163231186,1.58273314788022,-0.270983394934943,-0.211744391887989
"CST3",-0.790028686550605,-0.548769861104059,-0.615613382607484,-0.652502052129514,-0.4478471277823,-0.306464603826422,0.0576862992890689,0.0197155313698118
"CST7",-0.10558480616119,-0.10558480616119,-0.10558480616119,-0.10558480616119,-0.10558480616119,-0.10558480616119,-0.10558480616119,-0.10558480616119
"CSTA",-0.184212510942018,-0.143056697837336,0.361304013739135,-0.19523103325793,-0.19523103325793,-0.19523103325793,-0.19523103325793,-0.19523103325793
"CCN2",-0.492482958861965,0.021893328197728,0.231493300829054,0.926296909107852,1.60130281051056,0.837007414660781,0.589508381272065,1.94385363522966
